"Name","Type","Line","Signature"
"aggiungiTutorialBtn","function","5164","function aggiungiTutorialBtn(game) {"
"startTournament","function","5169","function startTournament(type) {"
"launchMiniGame","function","5178","function launchMiniGame(game, callback) {"
"openTournament","function","5231","function openTournament(type) {"
"startUCS","function","5237","function startUCS() { if(_realFn) return _realFn('UCS'); _realFn = startUCS; joinTournamentQueue('UCS',90,8); _realFn = null; }"
"launchUnifiedTournament","function","5238","function launchUnifiedTournament() { if(_realFn) return _realFn('EVENT'); _realFn = launchUnifiedTournament; joinTournamentQueue('EVENT',45,24); _realFn = null; }"
"endRound","function","5245","function endRound() {"
"endPentathlon","function","5256","function endPentathlon() {"
"showScr","function","5267","function showScr(scr) {"
"startGame","function","5286","function startGame(mode) {"
"startTournament","function","5297","function startTournament(type) {"
"openTournament","function","5308","function openTournament(type) {"
"openPentathlonModal","function","5322","function openPentathlonModal() {"
"closePentathlonModal","function","5325","function closePentathlonModal() {"
"confirmPentathlon","function","5328","function confirmPentathlon() {"
"getTableTheme","function","5335","function getTableTheme(gameType) {"
"applyTableTheme","function","5348","function applyTableTheme(gameType) {"
"startUltraWatch","function","5370","function startUltraWatch(finalTable, timerSec) {"
"updateUltraWatchUI","function","5389","function updateUltraWatchUI() {"
"placeUltraBet","function","5401","function placeUltraBet() {"
"resolveUltraBet","function","5409","function resolveUltraBet(finalTable) {"
"updateNemesi","function","5427","function updateNemesi(botName, defeated) {"
"showNemesiWidget","function","5438","function showNemesiWidget() {"
"hideNemesiWidget","function","5445","function hideNemesiWidget() {"
"defeatNemesi","function","5449","function defeatNemesi() {"
"startNewsFeed","function","5467","function startNewsFeed() {"
"addNewsFeedItem","function","5477","function addNewsFeedItem(item) {"
"selectTableTheme","function","5485","function selectTableTheme(mode) {"
"testTableContrast","function","5492","function testTableContrast() {"
"startPentathlon","function","5515","function startPentathlon() {"
"_updatePentathlonHUD","function","5528","function _updatePentathlonHUD() {"
"playNextPentathlonGame","function","5568","function playNextPentathlonGame() {"
"onPentathlonResult","function","5582","function onPentathlonResult(win, credits) {"
"addCrossCredits","function","5596","function addCrossCredits(amount) {"
"joinTournamentQueue","function","5631","function joinTournamentQueue(type, durationSeconds, maxPlayers) {"
"updateQueueUI","function","5654","function updateQueueUI() {"
"cancelTournamentEntry","function","5661","function cancelTournamentEntry() {"
"startAcceptPhase","function","5671","function startAcceptPhase() {"
"acceptTournamentEntry","function","5687","function acceptTournamentEntry() {"
"getTournamentName","function","5698","function getTournamentName(type) {"
"formatTime","function","5707","function formatTime(sec) {"
"preLoadTournamentBots","function","5713","function preLoadTournamentBots(type) {"
"nvdaAnnounce","function","5735","function nvdaAnnounce(msg, priority){"
"apriTutorial","function","7438","function apriTutorial(nomeGioco) {"
"chiudiTutorial","function","7452","function chiudiTutorial() {"
"aggiungiTutorialBtn","function","7457","function aggiungiTutorialBtn(nomeGioco, containerSelector) {"
"setupTutorialBtns","function","7470","function setupTutorialBtns() {"
"_buildRankedPool","function","7496","function _buildRankedPool(playerMMR) {"
"_mmPickBots","function","7535","function _mmPickBots(playerMMR, count) {"
"getAINamesForMMR","function","7578","function getAINamesForMMR(mmr, count) {"
"getAIBotsForMMR","function","7582","function getAIBotsForMMR(mmr, count) {"
"getLBFluctuation","function","7587","function getLBFluctuation(botName, baseMMR){"
"getRankSVG","function","7599","function getRankSVG(rankName, size=20){"
"svg","arrow","7605","const svg=(content,extra='')=>`<svg width=""${s}"" height=""${h}"" viewBox=""0 0 ${s} ${h}"" aria-hidden=""true"" focusable=""false"" ${extra}>${content}</svg>`;"
"circle","arrow","7606","const circle=(r,fill,stroke,sw=1.2)=>`<circle cx=""${cx}"" cy=""${cy}"" r=""${r}"" fill=""${fill}"" stroke=""${stroke}"" stroke-width=""${sw}""/>`;"
"polygon","arrow","7607","const polygon=(pts,fill,stroke,sw=1)=>`<polygon points=""${pts}"" fill=""${fill}"" stroke=""${stroke}"" stroke-width=""${sw}""/>`;"
"text","arrow","7608","const text=(t,y,fs,fill,fw=800)=>`<text x=""${cx}"" y=""${y}"" text-anchor=""middle"" dominant-baseline=""middle"" font-size=""${fs}"" font-weight=""${fw}"" fill=""${fill}"" font-family=""Exo 2,sans-serif"">${t}</text>`;"
"glow","arrow","7609","const glow=(color,r=cx*.7)=>`<circle cx=""${cx}"" cy=""${cy}"" r=""${r}"" fill=""${color}"" opacity=""0.18""/>`;"
"rankBadgeHTML","function","7737","function rankBadgeHTML(rank, svgSize=18){"
"_stShortRankName","function","7792","function _stShortRankName(mmr){"
"_stColorForRank","function","7797","function _stColorForRank(mmr){"
"generateSeasonTitles","function","7825","function generateSeasonTitles(seasonNum){"
"getSeasonTitles","function","7885","function getSeasonTitles(seasonNum){"
"grantSeasonTitles","function","7895","function grantSeasonTitles(peakMMR, seasonNum){"
"_sroTier","function","7945","function _sroTier(titleObj){"
"_sroQueue","function","7962","function _sroQueue(titleObjs, opts){"
"_sroShowNext","function","7969","function _sroShowNext(){"
"_sroStartParticles","function","8032","function _sroStartParticles(color){"
"loop","function","8037","function loop(){"
"_sroStopParticles","function","8048","function _sroStopParticles(){"
"_sroClose","function","8052","function _sroClose(){"
"_sroEquip","function","8058","function _sroEquip(){"
"_sroClaim","function","8070","function _sroClaim(){"
"_sroNext","function","8076","function _sroNext(){"
"_seasonMomentoZero","function","8086","function _seasonMomentoZero(){"
"_showSeasonEndPopup","function","8117","function _showSeasonEndPopup(onConfirm){"
"_cleanSeasonHistory","function","8259","function _cleanSeasonHistory(){"
"_sroCheckPending","function","8274","function _sroCheckPending(){"
"_loadDB","function","8472","function _loadDB(){"
"_saveDB","function","8475","function _saveDB(db){"
"_hashPin","function","8509","function _hashPin(u, pin){ return btoa(u+'::'+pin); }"
"ensureFields","function","8512","function ensureFields(p){"
"_checkStorageUsage","function","8632","function _checkStorageUsage(){"
"saveP","function","8652","function saveP(){"
"updateCloudBadge","function","8658","function updateCloudBadge(){"
"_backupChecksum","function","8677","function _backupChecksum(db){"
"exportSaveDataEnhanced","function","8685","function exportSaveDataEnhanced(){"
"_backupDownload","function","8708","function _backupDownload(json){"
"_backupSaveMeta","function","8720","function _backupSaveMeta(){"
"_backupUpdateUI","function","8730","function _backupUpdateUI(){"
"importSaveDataEnhanced","function","8748","function importSaveDataEnhanced(){"
"_importFromPaste","function","8774","function _importFromPaste(){"
"exportSaveData","function","8829","function exportSaveData(){"
"importSaveData","function","8848","function importSaveData(){"
"getRank","function","8872","function getRank(mmr){let r=RANKS[0];for(const x of RANKS){if(mmr>=x.min)r=x;else break;}return r;}"
"getRankPct","function","8873","function getRankPct(mmr){const r=getRank(mmr);if(r.next===99999)return 1;return(mmr-r.min)/(r.next-r.min);}"
"getNextRank","function","8874","function getNextRank(mmr){const r=getRank(mmr);const i=RANKS.indexOf(r);return i<RANKS.length-1?RANKS[i+1]:null;}"
"xpForLv","function","8875","function xpForLv(l){return Math.floor(100*Math.pow(1.35,l));}"
"getPlaylistKey","function","8877","function getPlaylistKey(nAI){return nAI===1?'p1':nAI===2?'p3':'p4';}"
"getModePlaylistKey","function","8879","function getModePlaylistKey(nAI){"
"getPlaylistMMR","function","8887","function getPlaylistMMR(nAI){return (P.mmrP||{})[getModePlaylistKey(nAI)]||200;}"
"getDiffFromMMR","function","8888","function getDiffFromMMR(mmr, botMMR){"
"getDiffLabel","function","8902","function getDiffLabel(diff){"
"getDiffColor","function","8905","function getDiffColor(diff){"
"addXP","function","8909","function addXP(amt){"
"addMMRvsOpponent","function","8918","function addMMRvsOpponent(won, oppMMR){"
"addTeamMMR","function","8938","function addTeamMMR(won, mode /* '2v2'|'3v3' */, isCasual){"
"addMMR","function","8958","function addMMR(won,nAI){"
"getWinsProgress","function","9012","function getWinsProgress(rankName){return Math.min(10,(P.winsAtRank||{})[rankName]||0);}"
"addModeWinLoss","function","9015","function addModeWinLoss(won){"
"unlockFeat","function","9037","function unlockFeat(feat){"
"addCredits","function","9050","function addCredits(n){P.credits+=n;saveP();}"
"getTourneyFeatForMMR","function","9054","function getTourneyFeatForMMR(mmr){"
"getTourneyTitleForMMR","function","9059","function getTourneyTitleForMMR(mmr){"
"getTourneyFeat","function","9064","function getTourneyFeat(rank){return getTourneyFeatForMMR(rank.min);}"
"getTourneyTitleId","function","9065","function getTourneyTitleId(rank){const t=getTourneyTitleForMMR(rank.min);return t?t.id:null;}"
"ac","function","9071","function ac(){if(!AC)try{AC=new(window.AudioContext||window.webkitAudioContext)();}catch(e){}return AC;}"
"showEndMicroTransition","function","9083","function showEndMicroTransition(youWon, onDone, durationMs) {"
"hideEndMicroTransition","function","9119","function hideEndMicroTransition() {"
"showTransitionScreen","function","9154","function showTransitionScreen(statusMsg, onDone, durationMs) {"
"hideTransitionScreen","function","9197","function hideTransitionScreen() {"
"_unlockAC","function","9207","function _unlockAC(){"
"loadSettings","function","9225","function loadSettings() {"
"saveSettings","function","9245","function saveSettings() {"
"applySettings","function","9260","function applySettings() {"
"settSwitchTab","function","9278","function settSwitchTab(tab, btn){"
"openSettings","function","9286","function openSettings() {"
"applyTheme","function","9298","function applyTheme(t){"
"_getMusicAC","function","9327","function _getMusicAC(){"
"_musicNote","function","9332","function _musicNote(freq, dur, when, vol, wave='sine'){"
"_musicScheduleBar","function","9344","function _musicScheduleBar(){"
"shareEndScreen","function","9373","function shareEndScreen(){"
"_animateCardDraw","function","9468","function _animateCardDraw(cardEl){"
"_animateCardPlay","function","9476","function _animateCardPlay(cardEl){"
"_animateCardDanger","function","9484","function _animateCardDanger(){"
"_showUnoBurst","function","9494","function _showUnoBurst(){"
"_checkDangerState","function","9504","function _checkDangerState(){"
"_ncAdd","function","9543","function _ncAdd(text, icon){"
"_ncGuessIcon","function","9552","function _ncGuessIcon(t){"
"_ncUpdateBadge","function","9567","function _ncUpdateBadge(){"
"_ncTimeAgo","function","9578","function _ncTimeAgo(ts){"
"_ncRender","function","9586","function _ncRender(){"
"toggleNotifCenter","function","9603","function toggleNotifCenter(){"
"clearNotifications","function","9621","function clearNotifications(){"
"openReplayPlayer","function","9652","function openReplayPlayer(logIndex){"
"closeReplayPlayer","function","9666","function closeReplayPlayer(){"
"_rpRender","function","9671","function _rpRender(){"
"replayStep","function","9726","function replayStep(n){"
"replayGoTo","function","9732","function replayGoTo(n){"
"replayTogglePlay","function","9738","function replayTogglePlay(){"
"_rcSaveState","function","9760","function _rcSaveState(){"
"_rcAttemptReconnect","function","9775","function _rcAttemptReconnect(){"
"_rcShowOverlay","function","9792","function _rcShowOverlay(seconds){"
"_rcHideOverlay","function","9810","function _rcHideOverlay(){"
"mpAbortReconnect","function","9817","function mpAbortReconnect(){"
"spectatorJoin","function","9902","function spectatorJoin(code){"
"_specOnData","function","9931","function _specOnData(data){"
"spectatorLeave","function","9953","function spectatorLeave(){"
"_afterPeerOpen","arrow","9974","const _afterPeerOpen=()=>{"
"toggleMusic","function","10029","function toggleMusic(){"
"nextTrack","function","10049","function nextTrack(){"
"setMusicVol","function","10058","function setMusicVol(v){"
"toggleMusicPlayer","function","10062","function toggleMusicPlayer(){"
"tone","function","10067","function tone(f,d,t='triangle',v=.13,dl=0){"
"rsCv","function","10099","function rsCv(){cv.width=window.innerWidth;cv.height=window.innerHeight;}"
"burst","function","10123","function burst(x,y,col,n=28,o={}){"
"burstDisc","function","10131","function burstDisc(col){"
"bigWinBurst","function","10136","function bigWinBurst(){"
"animPX","function","10142","function animPX(){"
"screenShake","function","10150","function screenShake(){"
"notify","function","10160","function notify(t){"
"showMsg","function","10164","function showMsg(t,d=1400){"
"showScr","function","10168","function showScr(id){"
"showOv","function","10180","function showOv(id){document.getElementById(id).classList.add('on');}"
"hideOv","function","10181","function hideOv(id){document.getElementById(id).classList.remove('on');}"
"el","function","10182","function el(id){return document.getElementById(id);}"
"setText","function","10183","function setText(id,v){const e=el(id);if(e)e.textContent=v;}"
"setStyle","function","10184","function setStyle(id,p,v){const e=el(id);if(e)e.style[p]=v;}"
"switchSplashTab","function","10186","function switchSplashTab(id,btn){"
"_legacySwitchTab","function","10191","function _legacySwitchTab(id,btn){"
"switchTourneyTab","function","10199","function switchTourneyTab(id,btn){"
"renderPentathlonPanel","function","10211","function renderPentathlonPanel(){"
"_trackMiniGame","function","10276","function _trackMiniGame(mode,won,extraStats){if(!P)return;const k='_mg_'+mode;if(!P[k])P[k]={games:0,wins:0,streak:0,maxStreak:0,maxScore:0};P[k].games++;if(won){P[k].wins++;P[k].streak=(P[k].streak||0)+1;P[k].maxStreak=Math.max(P[k].maxStreak||0,P[k].streak);}else{P[k].streak=0;}if(extraStats){if(extraStats.score!==undefined&&extraStats.score>(P[k].maxScore||0))P[k].maxScore=extraStats.score;}}"
